,Latitude,Longitude,City,Temperature,Humidity,Cloudiness,Wind speed
2497,69.59700184464941,87.77221260770455,kayerkan,11.39,83.0,80.0,12.77
390,-36.25188586787491,-61.61566334652832,nueve de julio,70.3,49.0,0.0,2.48
2032,-10.199381191594,32.11052097433296,chinsali,62.2,98.0,64.0,2.82
2059,26.75608809692612,-125.3553631993565,lompoc,62.6,67.0,75.0,10.29
2396,85.25457367994935,31.126378814840905,berlevag,5.0,65.0,0.0,10.29
1282,57.09622209238802,35.097047240309024,torzhok,6.49,87.0,68.0,8.97
37,-5.759933741758758,21.41968339638231,luebo,70.7,97.0,36.0,1.59
1940,59.34171501223628,-56.90486066073785,nuuk,8.6,78.0,0.0,11.41
1331,27.020134975629674,65.83434965421927,bela,55.9,65.0,0.0,2.71
1034,32.70149160777255,-102.94749933005359,hobbs,59.0,23.0,1.0,10.29
1307,46.14041498478784,-82.82386581933294,blind river,30.2,92.0,90.0,5.82
1712,57.77385060145545,-111.5747828821177,athabasca,15.13,80.0,64.0,12.21
333,57.53609538024838,161.28263871435917,klyuchi,12.11,74.0,76.0,3.83
235,32.308523122796146,-115.81949591921517,progreso,68.0,52.0,0.0,6.93
1046,20.173427657511567,1.7697666885732133,tessalit,57.56,42.0,0.0,3.15
2126,22.66342710450556,13.959206230544083,marzuq,41.59,53.0,0.0,1.92
2057,62.22936801205506,-102.88123871986113,la ronge,5.0,71.0,20.0,4.7
696,-29.57356818363362,-53.57135485876297,santa maria,62.6,82.0,0.0,3.36
1260,27.201559518526707,74.65861992270575,makrana,67.6,53.0,0.0,5.17
123,64.15128551526055,64.78860137971975,igrim,11.57,82.0,68.0,7.4
1117,1.6548960537562607,-63.9871619992079,santa isabel do rio negro,74.17,99.0,32.0,2.48
701,23.756335304075975,-41.317123909621614,ponta do sol,67.69,98.0,92.0,3.6
2274,-28.91025765062976,-35.121468741356125,arraial do cabo,73.45,100.0,100.0,2.59
1754,54.4080978617487,82.7552316515538,yarkovo,5.0,71.0,0.0,11.18
2489,-50.99071244621865,65.56791431217542,saint-philippe,28.4,92.0,90.0,14.99
684,6.427313102349899,80.0658413317467,beruwala,82.45,99.0,80.0,2.71
